task_id,difficulty,title,artifact,bytes,sha256
j4_ch1_dogbone_base,hard,Build the disc base and dogbone link,tasks/j4_ch1_dogbone_base/answer.f3d,80992,79f8758e492c99592c01e1feeb1a083683457258bb6ffe1b12cd0bb52d82145f
j4_ch2_plateau_keyhole,hard,Build the offset plateaus and keyhole cut,tasks/j4_ch2_plateau_keyhole/answer.f3d,134548,2f3e0b7bf19e47877b96946b6194255251780ce9bf3ebfc46c8e8d68e0dca641
j4_ch3_bolt_patterns,hard,Build the bolt details and edge patterns,tasks/j4_ch3_bolt_patterns/answer.f3d,210250,6494cc1356a4b4a09704121c65c15ee3585a4fdaf83cbb56cc7f837466bbc14b
j4_ch4_endblock_mirrors,hard,Build the end block and mirror the features,tasks/j4_ch4_endblock_mirrors/answer.f3d,330064,b95b44261799c3e328e50a68273df03635f6ac180baf8e2ec9710e8b6ad7e5cf
j4_ch5_full,expert,Build the complete Jaw_4 link from a blank design,tasks/j4_ch5_full/answer.f3d,330064,b95b44261799c3e328e50a68273df03635f6ac180baf8e2ec9710e8b6ad7e5cf
j5_ch1_revolve_core,hard,Build the revolved disks and face steps,tasks/j5_ch1_revolve_core/answer.f3d,98798,c2edf01263c4372af39294e8a3fb9d6c7bf2415961f54f65d6e94ae15e7c18bb
j5_ch2_hub_details,expert,"Build the hub, bolt bosses, tang, and pins",tasks/j5_ch2_hub_details/answer.f3d,153394,2f5c8e59d25695ac3e9f68e86fd249cdd9692899dd0ab8337570126afe751124
j5_ch3_full,expert,Build the complete Jaw_5 hub from a blank design,tasks/j5_ch3_full/answer.f3d,153394,2f5c8e59d25695ac3e9f68e86fd249cdd9692899dd0ab8337570126afe751124
jaw_ch01_hub_stack,hard,"Build the boss, shaft, and bolt-ring stack",tasks/jaw_ch01_hub_stack/answer.f3d,117880,c916755c247ba13d8c8ac4dc4921680178c4979470e443b57e1834049801a80d
jaw_ch01_hub_stack_free,hard,"Build the boss, shaft, and bolt-ring stack",tasks/jaw_ch01_hub_stack_free/answer.f3d,117880,c916755c247ba13d8c8ac4dc4921680178c4979470e443b57e1834049801a80d
jaw_ch01s_hub_stack_spec,hard,Build the three-feature hub stack,tasks/jaw_ch01s_hub_stack_spec/answer.f3d,117880,c916755c247ba13d8c8ac4dc4921680178c4979470e443b57e1834049801a80d
jaw_ch01s_hub_stack_spec_free,hard,Build the three-feature hub stack,tasks/jaw_ch01s_hub_stack_spec_free/answer.f3d,117880,c916755c247ba13d8c8ac4dc4921680178c4979470e443b57e1834049801a80d
jaw_ch02_flange_stack,hard,Build the double end flange with raised inset,tasks/jaw_ch02_flange_stack/answer.f3d,182729,dbb39809e01c794fff4e400cd6aa7beb904b896af1ac4bac19dc453ca0f4a5e8
jaw_ch02_flange_stack_free,hard,Build the double end flange with raised inset,tasks/jaw_ch02_flange_stack_free/answer.f3d,182729,dbb39809e01c794fff4e400cd6aa7beb904b896af1ac4bac19dc453ca0f4a5e8
jaw_ch03_side_assembly,hard,Build the side-disk assembly on a new construction plane,tasks/jaw_ch03_side_assembly/answer.f3d,171791,6eac4a3cc07e8ef951c75a428feeddd20a603b9045f2d6c9a11d4493e52368b3
jaw_ch03_side_assembly_free,hard,Build the side-disk assembly on a new construction plane,tasks/jaw_ch03_side_assembly_free/answer.f3d,171791,6eac4a3cc07e8ef951c75a428feeddd20a603b9045f2d6c9a11d4493e52368b3
jaw_ch04_base_front,hard,Build the housing front end from a blank design,tasks/jaw_ch04_base_front/answer.f3d,117880,c916755c247ba13d8c8ac4dc4921680178c4979470e443b57e1834049801a80d
