y_over_H,u_m_per_s
0.0000,0.000000
0.0250,0.014625
0.0500,0.028500
0.0750,0.041625
0.1000,0.054000
0.1250,0.065625
0.1500,0.076500
0.1750,0.086625
0.2000,0.096000
0.2250,0.104625
0.2500,0.112500
0.2750,0.119625
0.3000,0.126000
0.3250,0.131625
0.3500,0.136500
0.3750,0.140625
0.4000,0.144000
0.4250,0.146625
0.4500,0.148500
0.4750,0.149625
0.5000,0.150000
0.5250,0.149625
0.5500,0.148500
0.5750,0.146625
0.6000,0.144000
0.6250,0.140625
0.6500,0.136500
0.6750,0.131625
0.7000,0.126000
0.7250,0.119625
0.7500,0.112500
0.7750,0.104625
0.8000,0.096000
0.8250,0.086625
0.8500,0.076500
0.8750,0.065625
0.9000,0.054000
0.9250,0.041625
0.9500,0.028500
0.9750,0.014625
1.0000,0.000000
