x,T_analytic
0.005000,302.487500
0.015000,307.387500
0.025000,312.187500
0.035000,316.887500
0.045000,321.487500
0.055000,325.987500
0.065000,330.387500
0.075000,334.687500
0.085000,338.887500
0.095000,342.987500
0.105000,346.987500
0.115000,350.887500
0.125000,354.687500
0.135000,358.387500
0.145000,361.987500
0.155000,365.487500
0.165000,368.887500
0.175000,372.187500
0.185000,375.387500
0.195000,378.487500
0.205000,381.487500
0.215000,384.387500
0.225000,387.187500
0.235000,389.887500
0.245000,392.487500
0.255000,394.987500
0.265000,397.387500
0.275000,399.687500
0.285000,401.887500
0.295000,403.987500
0.305000,405.987500
0.315000,407.887500
0.325000,409.687500
0.335000,411.387500
0.345000,412.987500
0.355000,414.487500
0.365000,415.887500
0.375000,417.187500
0.385000,418.387500
0.395000,419.487500
0.405000,420.487500
0.415000,421.387500
0.425000,422.187500
0.435000,422.887500
0.445000,423.487500
0.455000,423.987500
0.465000,424.387500
0.475000,424.687500
0.485000,424.887500
0.495000,424.987500
0.505000,424.987500
0.515000,424.887500
0.525000,424.687500
0.535000,424.387500
0.545000,423.987500
0.555000,423.487500
0.565000,422.887500
0.575000,422.187500
0.585000,421.387500
0.595000,420.487500
0.605000,419.487500
0.615000,418.387500
0.625000,417.187500
0.635000,415.887500
0.645000,414.487500
0.655000,412.987500
0.665000,411.387500
0.675000,409.687500
0.685000,407.887500
0.695000,405.987500
0.705000,403.987500
0.715000,401.887500
0.725000,399.687500
0.735000,397.387500
0.745000,394.987500
0.755000,392.487500
0.765000,389.887500
0.775000,387.187500
0.785000,384.387500
0.795000,381.487500
0.805000,378.487500
0.815000,375.387500
0.825000,372.187500
0.835000,368.887500
0.845000,365.487500
0.855000,361.987500
0.865000,358.387500
0.875000,354.687500
0.885000,350.887500
0.895000,346.987500
0.905000,342.987500
0.915000,338.887500
0.925000,334.687500
0.935000,330.387500
0.945000,325.987500
0.955000,321.487500
0.965000,316.887500
0.975000,312.187500
0.985000,307.387500
0.995000,302.487500
