y,region,rho,p,T,Ux,Uy,Mach
0.070531,post_shock,2.041806,1.706580,1.170152,1.747651,0.308158,1.640526
0.088768,post_shock,2.041806,1.706580,1.170152,1.747651,0.308158,1.640526
0.107004,post_shock,2.041806,1.706580,1.170152,1.747651,0.308158,1.640526
0.125241,post_shock,2.041806,1.706580,1.170152,1.747651,0.308158,1.640526
0.143478,post_shock,2.041806,1.706580,1.170152,1.747651,0.308158,1.640526
0.161714,post_shock,2.041806,1.706580,1.170152,1.747651,0.308158,1.640526
0.179951,post_shock,2.041806,1.706580,1.170152,1.747651,0.308158,1.640526
0.198188,post_shock,2.041806,1.706580,1.170152,1.747651,0.308158,1.640526
0.216425,post_shock,2.041806,1.706580,1.170152,1.747651,0.308158,1.640526
0.234661,post_shock,2.041806,1.706580,1.170152,1.747651,0.308158,1.640526
0.252898,post_shock,2.041806,1.706580,1.170152,1.747651,0.308158,1.640526
0.271135,post_shock,2.041806,1.706580,1.170152,1.747651,0.308158,1.640526
0.289372,post_shock,2.041806,1.706580,1.170152,1.747651,0.308158,1.640526
0.307608,post_shock,2.041806,1.706580,1.170152,1.747651,0.308158,1.640526
0.325845,post_shock,2.041806,1.706580,1.170152,1.747651,0.308158,1.640526
0.344082,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.362318,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.380555,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.398792,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.417029,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.435265,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.453502,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.471739,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.489976,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.508212,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.526449,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.544686,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.562923,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.581159,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.599396,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.617633,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.635869,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.654106,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.672343,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.690580,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.708816,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.727053,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.745290,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.763527,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.781763,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
0.800000,freestream,1.400006,1.000000,1.000000,2.000000,0.000000,2.000004
