x,rho,u,p
0.0005,1.00000000,0.00000000,1.00000000
0.0015,1.00000000,0.00000000,1.00000000
0.0025,1.00000000,0.00000000,1.00000000
0.0035,1.00000000,0.00000000,1.00000000
0.0045,1.00000000,0.00000000,1.00000000
0.0055,1.00000000,0.00000000,1.00000000
0.0065,1.00000000,0.00000000,1.00000000
0.0075,1.00000000,0.00000000,1.00000000
0.0085,1.00000000,0.00000000,1.00000000
0.0095,1.00000000,0.00000000,1.00000000
0.0105,1.00000000,0.00000000,1.00000000
0.0115,1.00000000,0.00000000,1.00000000
0.0125,1.00000000,0.00000000,1.00000000
0.0135,1.00000000,0.00000000,1.00000000
0.0145,1.00000000,0.00000000,1.00000000
0.0155,1.00000000,0.00000000,1.00000000
0.0165,1.00000000,0.00000000,1.00000000
0.0175,1.00000000,0.00000000,1.00000000
0.0185,1.00000000,0.00000000,1.00000000
0.0195,1.00000000,0.00000000,1.00000000
0.0205,1.00000000,0.00000000,1.00000000
0.0215,1.00000000,0.00000000,1.00000000
0.0225,1.00000000,0.00000000,1.00000000
0.0235,1.00000000,0.00000000,1.00000000
0.0245,1.00000000,0.00000000,1.00000000
0.0255,1.00000000,0.00000000,1.00000000
0.0265,1.00000000,0.00000000,1.00000000
0.0275,1.00000000,0.00000000,1.00000000
0.0285,1.00000000,0.00000000,1.00000000
0.0295,1.00000000,0.00000000,1.00000000
0.0305,1.00000000,0.00000000,1.00000000
0.0315,1.00000000,0.00000000,1.00000000
0.0325,1.00000000,0.00000000,1.00000000
0.0335,1.00000000,0.00000000,1.00000000
0.0345,1.00000000,0.00000000,1.00000000
0.0355,1.00000000,0.00000000,1.00000000
0.0365,1.00000000,0.00000000,1.00000000
0.0375,1.00000000,0.00000000,1.00000000
0.0385,1.00000000,0.00000000,1.00000000
0.0395,1.00000000,0.00000000,1.00000000
0.0405,1.00000000,0.00000000,1.00000000
0.0415,1.00000000,0.00000000,1.00000000
0.0425,1.00000000,0.00000000,1.00000000
0.0435,1.00000000,0.00000000,1.00000000
0.0445,1.00000000,0.00000000,1.00000000
0.0455,1.00000000,0.00000000,1.00000000
0.0465,1.00000000,0.00000000,1.00000000
0.0475,1.00000000,0.00000000,1.00000000
0.0485,1.00000000,0.00000000,1.00000000
0.0495,1.00000000,0.00000000,1.00000000
