r,u_theta
0.0500000000,0.05
0.0525000000,0.0459920634921
0.0550000000,0.0422727272727
0.0575000000,0.0388043478261
0.0600000000,0.0355555555556
0.0625000000,0.0325
0.0650000000,0.0296153846154
0.0675000000,0.0268827160494
0.0700000000,0.0242857142857
0.0725000000,0.0218103448276
0.0750000000,0.0194444444444
0.0775000000,0.0171774193548
0.0800000000,0.015
0.0825000000,0.012904040404
0.0850000000,0.0108823529412
0.0875000000,0.00892857142857
0.0900000000,0.00703703703704
0.0925000000,0.0052027027027
0.0950000000,0.00342105263158
0.0975000000,0.00168803418803
0.1000000000,6.93889390391e-18
