task_id,domain,proprietary_hits,hdl_flow,attachment_ref,attachment_inline,in_narrowed_subset
RS_02,Mechanical Systems,,False,True,True,True
WJ_01,Signal Processing,,False,False,False,False
RK_02,Structure Design,,False,False,False,True
AV_03,Signal Processing,,False,False,False,False
RS_03,Mechanical Systems,,False,True,True,True
XY_01,Digital Hardware Design,,True,False,False,False
AB_01,Signal Processing,,False,False,False,False
AV_02,Signal Processing,,False,False,False,False
libin2_01,Operating System Design,,False,False,False,False
RK_03,Structure Design,,False,False,False,True
RK_04,Structure Design,,False,False,False,True
ZH_02,Mechanical Systems,,False,False,False,True
YX_01,Robotics,,False,False,False,False
XG_11,Control Design,,False,False,False,True
JY_01,Signal Processing,,False,False,False,False
NS_PA_SS_02,Digital Hardware Design,,True,False,False,False
NS_PA_SS_05,Digital Hardware Design,,True,False,False,False
ZH_04,Mechanical Systems,,False,False,False,True
XG_10,Control Design,,False,False,False,True
ZH_03,Robotics,,False,False,False,False
NS_PA_SS_04,Digital Hardware Design,,True,False,False,False
NS_PA_SS_03,Digital Hardware Design,,True,False,False,False
NS_PA_SS_10,Digital Hardware Design,,True,False,False,False
ZC_03,Control Design,,False,False,False,True
Yiqi_02,Computer Architecture Design,,False,False,False,False
XW_01,Operating System Design,,False,False,False,False
HJ_01,Robotics,,False,False,False,False
ZC_02,Control Design,,False,False,False,True
Ziheng_01,Control Design,,False,False,False,True
XG_02,Control Design,,False,False,False,True
XG_05,Control Design,,False,False,False,True
YF_05,Structure Design,MATLAB,False,False,False,False
YF_02,Structure Design,MATLAB,False,False,False,False
qjlim2_01,Signal Processing,,False,False,False,False
XZ_03,Robotics,,False,False,False,False
XZ_04,Robotics,,False,False,False,False
YZ_04,Mechanical Systems,,False,False,False,True
YZ_03,Signal Processing,MATLAB,False,False,False,False
YJ_01,Structure Design,,False,False,False,True
XZ_02,Robotics,,False,False,False,False
YF_03,Structure Design,MATLAB,False,False,False,False
CY_03,Operating System Design,,False,False,False,False
HC_03,Signal Processing,,False,False,False,False
YF_04,Structure Design,MATLAB,False,False,False,False
Yuqi_01,Computer Architecture Design,,False,False,False,False
DL_01,Computer Architecture Design,,False,False,False,False
YZ_02,Signal Processing,MATLAB,False,False,False,False
RK_01,Structure Design,,False,False,False,True
XY_03,Digital Hardware Design,,False,False,False,False
libin2_03,Operating System Design,,False,False,False,False
XY_04,Digital Hardware Design,,False,False,False,False
AB_03,Signal Processing,,False,False,False,False
RS_01,Mechanical Systems,,False,True,True,True
AB_02,Signal Processing,,False,False,False,False
XY_05,Digital Hardware Design,,False,False,False,False
libin2_02,Operating System Design,,False,False,False,False
NS_PA_SS_08,Digital Hardware Design,,True,False,False,False
JY_02,Signal Processing,,False,False,False,False
NS_PA_SS_06,Digital Hardware Design,,True,False,False,False
LX_03,Control Design,,False,False,False,True
YX_02,Mechanical Systems,,False,False,False,True
XG_12,Control Design,,False,False,False,True
NS_PA_SS_07,Digital Hardware Design,,True,False,False,False
LX_02,Control Design,,False,False,False,True
JY_03,Signal Processing,,False,False,False,False
NS_PA_SS_09,Digital Hardware Design,,True,False,False,False
YX_03,Signal Processing,,False,False,False,False
XG_13,Control Design,,False,False,False,True
XG_07,Control Design,MATLAB,False,False,False,False
XW_02,Operating System Design,,False,False,False,False
Ziheng_03,Control Design,,False,False,False,True
XG_09,Signal Processing,,False,False,False,False
Yiqi_01,Computer Architecture Design,,False,False,False,False
KV_02,Control Design,,False,False,False,True
XW_04,Operating System Design,,False,False,False,False
Ziheng_02,Robotics,,False,False,False,False
XG_08,Control Design,MATLAB,False,False,False,False
XW_03,Operating System Design,,False,False,False,False
XG_01,Control Design,MATLAB,False,False,False,False
ZC_01,Control Design,,False,False,False,True
KV_03,Control Design,Simulink,False,False,False,False
AM_03,Robotics,,False,False,False,False
YJ_02,Structure Design,,False,False,False,True
YF_01,Structure Design,MATLAB,False,False,False,False
YF_06,Structure Design,MATLAB,False,False,False,False
qjlim2_02,Signal Processing,,False,False,False,False
YJ_03,Structure Design,,False,False,False,True
DL_02,Computer Architecture Design,,False,False,False,False
AM_02,Robotics,,False,False,False,False
YZ_01,Signal Processing,MATLAB,False,False,False,False
XZ_01,Robotics,,False,False,False,False
qjlim2_04,Signal Processing,,False,False,False,False
TB_05,Analog Integrated Circuit Design,Cadence,False,False,False,False
TB_03,Analog Integrated Circuit Design,Cadence,False,False,False,False
TB_04,Analog Integrated Circuit Design,Cadence,False,False,False,False
YH_01,Digital Hardware Design,Vivado,False,False,False,False
TB_02,Analog Integrated Circuit Design,Cadence,False,False,False,False
YH_02,Digital Hardware Design,Vivado,False,False,False,False
TB_01,Analog Integrated Circuit Design,Cadence,False,False,False,False
YH_04,Digital Hardware Design,,False,False,False,False
YH_03,Digital Hardware Design,,False,False,False,False
