time,alt_ft,ias_kt,load_g
T000,10000.0,140.0,1.1
T001,10920.0,149.0,1.45
T002,11840.0,158.0,1.8
T003,14260.0,167.0,2.15
T004,13680.0,176.0,1.1
T005,14000.0,185.0,1.45
T006,14920.0,194.0,
T007,15840.0,140.0,2.15
T008,16760.0,149.0,1.1
T009,17680.0,158.0,1.45
T010,18000.0,167.0,1.8
T011,18920.0,176.0,2.15
T012,19840.0,185.0,1.1
T013,20760.0,194.0,1.45
T014,21680.0,140.0,1.8
T015,22000.0,149.0,2.15
T016,22920.0,158.0,1.1
T017,23840.0,167.0,1.45
T018,24760.0,231.0,1.8
T019,25680.0,185.0,2.15
