config,channel,rep,value
CFG-A,lift,1,120.5
CFG-A,lift,2,121.75
CFG-A,lift,3,123.0
CFG-A,drag,1,24.5
CFG-A,drag,2,25.75
CFG-A,drag,3,27.0
CFG-A,moment,1,-8.0
CFG-A,moment,2,-6.75
CFG-A,moment,3,-5.5
CFG-B,lift,1,127.0
CFG-B,lift,2,128.25
CFG-B,drag,1,31.0
CFG-B,drag,2,32.25
CFG-B,moment,1,-1.5
CFG-B,moment,2,-0.25
CFG-C,lift,1,133.5
CFG-C,lift,2,134.75
CFG-C,lift,3,136.0
CFG-C,drag,1,37.5
CFG-C,drag,2,38.75
CFG-C,drag,3,40.0
CFG-C,moment,1,5.0
CFG-C,moment,2,6.25
CFG-C,moment,3,7.5
CFG-D,lift,1,140.0
CFG-D,lift,2,141.25
CFG-D,drag,1,44.0
CFG-D,drag,2,45.25
CFG-D,moment,1,11.5
CFG-D,moment,2,12.75
