GeoID,AoA,cd,cl,cm,clp,clv,cdp,cdv,cd_stdev,cl_stdev,cm_stdev,cd_stderr,cl_stderr,cm_stderr,cd_ci95,cl_ci95,cm_ci95
LHC001,4,0.149698,1.383878,-0.126202,1.384783,-0.000904,0.127410,0.022288,0.001685,0.009327,0.015439,0.000753,0.004169,0.006901,0.001476,0.008171,0.013525
LHC001,6,0.174160,1.571234,-0.183620,1.572338,-0.001104,0.151851,0.022309,0.001746,0.010551,0.016200,0.000781,0.004716,0.007242,0.001530,0.009244,0.014194
LHC001,8,0.202331,1.755154,-0.233690,1.756433,-0.001278,0.179952,0.022380,0.002194,0.011137,0.016470,0.000981,0.004981,0.007366,0.001923,0.009762,0.014437
LHC001,10,0.232775,1.925593,-0.285546,1.927020,-0.001427,0.210326,0.022449,0.002860,0.012947,0.018377,0.001278,0.005786,0.008213,0.002505,0.011341,0.016098
LHC001,12,0.267881,2.076107,-0.337976,2.077742,-0.001635,0.245565,0.022316,0.003550,0.013379,0.021644,0.001317,0.004964,0.008031,0.002582,0.009730,0.015741
LHC001,14,0.300279,2.182708,-0.391508,2.184540,-0.001832,0.278390,0.021889,0.004079,0.013468,0.026077,0.000912,0.003012,0.005831,0.001788,0.005903,0.011429
LHC001,16,0.336197,2.265876,-0.424957,2.268000,-0.002125,0.314853,0.021344,0.004504,0.013315,0.032053,0.001007,0.002978,0.007168,0.001974,0.005836,0.014048
LHC001,18,0.404477,2.092560,-0.640170,2.094374,-0.001814,0.384837,0.019640,0.013363,0.049966,0.139024,0.002112,0.007899,0.021977,0.004140,0.015481,0.043075
LHC001,20,0.444178,2.154226,-0.733791,2.156091,-0.001865,0.424967,0.019212,0.015768,0.063494,0.125779,0.002493,0.010038,0.019884,0.004886,0.019674,0.038972
LHC001,22,0.533199,1.915550,-0.920969,1.918019,-0.002469,0.515259,0.017940,0.017944,0.066261,0.166622,0.002837,0.010477,0.026345,0.005561,0.020534,0.051636
LHC002,4,0.097808,1.107872,0.002840,1.108852,-0.000980,0.075820,0.021988,0.001167,0.007403,0.013360,0.000522,0.003309,0.005971,0.001023,0.006485,0.011704
LHC002,6,0.118386,1.303262,-0.049105,1.304497,-0.001235,0.096389,0.021996,0.001514,0.009279,0.014441,0.000676,0.004142,0.006446,0.001324,0.008118,0.012634
LHC002,8,0.143835,1.495682,-0.097718,1.497192,-0.001510,0.121733,0.022102,0.002198,0.011476,0.015933,0.000982,0.005127,0.007118,0.001925,0.010048,0.013951
LHC002,10,0.172536,1.677344,-0.143566,1.679108,-0.001764,0.150505,0.022030,0.002935,0.012818,0.015256,0.001311,0.005726,0.006815,0.002570,0.011223,0.013357
LHC002,12,0.204103,1.842507,-0.186864,1.844501,-0.001994,0.182173,0.021929,0.002980,0.011383,0.018030,0.001330,0.005081,0.008048,0.002607,0.009959,0.015773
LHC002,14,0.236788,1.960783,-0.224445,1.962958,-0.002175,0.215437,0.021351,0.003638,0.012628,0.020893,0.000813,0.002822,0.004670,0.001594,0.005532,0.009152
LHC002,16,0.271521,2.014135,-0.227076,2.016435,-0.002300,0.250999,0.020521,0.004352,0.015638,0.027937,0.000973,0.003495,0.006244,0.001906,0.006850,0.012238
LHC002,18,0.324569,1.874113,-0.302210,1.876235,-0.002122,0.305753,0.018816,0.010084,0.060931,0.108820,0.001302,0.007866,0.014048,0.002551,0.015417,0.027533
LHC002,20,0.455662,1.737266,-0.267304,1.740023,-0.002757,0.437937,0.017725,0.016835,0.048354,0.116570,0.002661,0.007644,0.018429,0.005216,0.014983,0.036120
LHC002,22,0.542811,1.705883,-0.269649,1.709392,-0.003509,0.525430,0.017381,0.020282,0.054346,0.115550,0.003207,0.008593,0.018270,0.006285,0.016842,0.035809
LHC003,4,0.114417,1.217594,-0.225504,1.218138,-0.000544,0.092389,0.022028,0.001380,0.009940,0.016698,0.000616,0.004441,0.007460,0.001208,0.008705,0.014622
LHC003,6,0.135251,1.408742,-0.279435,1.409497,-0.000755,0.113089,0.022162,0.001665,0.010888,0.015478,0.000744,0.004868,0.006920,0.001459,0.009541,0.013563
LHC003,8,0.160254,1.594929,-0.330305,1.595885,-0.000957,0.138033,0.022221,0.002694,0.014881,0.016199,0.001204,0.006648,0.007237,0.002359,0.013030,0.014184
LHC003,10,0.190674,1.784660,-0.390972,1.785845,-0.001185,0.168482,0.022192,0.003709,0.018238,0.017146,0.001657,0.008148,0.007660,0.003248,0.015969,0.015013
