GeoID,IB_Flap_Deflection,OB_Flap_Deflection,IB_Flap_Gap_Multiplier,OB_Flap_Gap_Multiplier,IB_Slat_Deflection,OB_Slat_Deflection,IB_Slat_Gap_Multiplier,OB_Slat_Gap_Multiplier
LHC001,41.03039017,32.27691575,1.162620563,0.82361065,21.2533496,32.78414653,0.801828044,1.37066441
LHC002,33.0520111,11.92503602,1.361386674,0.982992258,23.82545783,18.64021067,0.50227042,0.893670073
LHC003,21.11637685,42.98162989,1.338510322,1.150456821,16.33311303,27.46247291,1.165818233,0.656869714
LHC004,10.24536859,19.3013124,1.106594411,1.118351756,17.54201673,10.26113977,1.053318536,1.447310158
LHC005,39.42173058,34.53834151,0.83737367,0.938615287,19.07202412,16.66717632,1.187684973,1.204366007
LHC006,26.62788696,38.46368543,0.581479925,0.771078216,15.89046996,29.69419102,0.655132912,0.619757323
LHC007,31.43820372,43.48408993,1.271099467,1.130049335,16.84754866,11.84554966,0.926749297,1.122990595
LHC008,43.73220565,24.58651367,1.429126925,1.360446518,17.03710804,30.7187329,0.981388358,1.197932
LHC009,28.74994062,14.41487831,0.799721529,0.805310049,11.42970529,19.29555509,1.235275701,1.113045327
LHC010,31.20331194,14.01240205,0.92635967,0.57130247,29.90126046,20.83087065,1.114369786,1.178496847
LHC011,14.67127928,11.6960555,1.161804085,0.808876714,32.89604084,23.07915684,0.741461301,0.655433086
LHC012,37.93455702,25.0102927,0.900142622,1.207871744,10.60606774,21.81099417,1.171967768,0.834264345
LHC013,10.97351305,17.08722904,1.330171299,1.45916295,14.96522233,10.47743334,1.106814233,1.027151846
LHC014,30.44498007,15.377287,1.178278922,1.057387908,25.50460698,32.80049584,0.640383269,1.130367218
LHC015,34.92224335,15.575959,0.962887702,0.755783351,22.90263537,26.08519808,0.503267974,0.872913496
LHC016,15.72463139,14.65288625,0.8297555,0.844956087,23.40594455,19.85245932,0.688120856,0.744113955
LHC017,43.15570305,22.51714812,0.873821556,1.433954374,24.11362523,12.26844542,0.874720321,1.298554963
LHC018,39.64628799,24.42217729,0.539250706,0.603791315,11.99003507,17.81697558,1.072514769,1.410154133
LHC019,31.38728603,11.65101636,0.523939699,1.322386225,17.77839083,17.91873666,1.478020929,1.460663478
LHC020,26.72805688,34.48213584,0.865657539,0.753109588,21.49763489,23.11759431,0.663250826,0.807273923
LHC021,44.2455197,21.17234005,1.157088573,1.092536922,23.60145863,13.2454542,1.130091829,0.816765284
LHC022,18.33828081,36.61472198,1.27554449,0.743934568,32.29691308,17.93155156,1.174626436,0.564311572
LHC023,26.39153397,11.09893557,0.922388169,0.525513239,24.46168103,31.77319101,0.993635051,1.254571931
LHC024,26.94896861,38.05268973,1.492664727,0.884798452,25.988575,27.35810739,0.531843302,1.333577609
LHC025,21.89632127,25.03199442,1.225827347,0.702535352,16.21844137,20.7536882,0.61984389,1.115628749
LHC026,13.6354852,38.8410662,0.849370351,1.297073026,33.45345743,16.39389631,0.57469964,1.153291129
LHC027,32.70706442,28.45710461,0.590370772,0.718195789,12.18224588,16.72564483,0.9168744,1.461741144
LHC028,21.99136685,34.65915892,1.220548759,0.606747697,16.54432441,17.75135734,1.276022445,1.425947339
LHC029,39.3444137,18.64904839,0.744841002,1.0648849,28.69434537,29.60828118,1.495180665,1.423083432
LHC030,43.88158201,19.01698118,0.969925229,1.193884231,24.33906014,20.65464476,0.896261973,1.103658335
LHC031,11.21409488,20.90607947,1.055916669,0.737345847,29.45203984,14.79648989,1.094192341,1.185226343
LHC032,41.20986541,18.10946724,0.805517606,1.307319255,20.96445055,17.59174176,0.571787098,0.642150953
LHC033,32.74809176,11.14921981,1.168675158,1.429070979,17.75453546,28.29025988,0.972621126,0.638982457
LHC034,30.87209414,28.91109089,0.537388693,0.61935554,23.86066851,25.72792923,1.363294814,0.705349926
LHC035,21.44664229,33.50694968,1.08682923,0.634690576,16.71930983,22.2791061,1.263338615,1.012213217
LHC036,27.14901147,38.38100048,1.39286968,1.143339128,25.67333048,26.75288515,1.288949792,0.659835895
