VARIABLES =      SA                    DA                    DA_kink               AR                    TR                    kink                  rootadj               rtcs_0                rtcs_1                rtcs_2                cambers_0             cambers_1             cambers_2             twists_0              twists_1              twists_2              twists_3              U0                    U1                    U2                    U3                    U4                    U5                    U6                    U7                    U8                    U9                    U0                    U1                    U2                    U3                    U4                    U5                    U6                    U7                    U8                    U9                    tcroot                M30                   M31                   M32                   M33                   M34                   M35                   M36                   M37                   AA0                   AA1                   AA2                   AA3                   AA4                   AA5                   AA6                   AA7                   
      0         38.1752126008          5.2137268596          4.0664162404         10.0497157391          0.2402828032          0.4052043164          0.2958701412          0.6767337123          0.9465132469          0.9966516887          0.6386665858          0.6156746888          0.5841336794         -3.1481496356         -3.6169485788         -2.6756211943         -1.4419117176          0.1272818957          0.1275096149          0.2497416822          0.0801806331          0.2533806441          0.2049420747          0.2024608635          0.1585145210          0.3003057037          0.0323471135         -0.1508809523         -0.0518694121         -0.2250913668         -0.0418410497         -0.2946815129         -0.1031902218         -0.0942035690         -0.2081706023          0.2000000000          0.0762829953          0.1429308428          0.7519974134          0.7564447608          0.7670874097          0.7648770793          0.7624613284          0.7696684272          0.7705929170          0.7596762511          9.3724910087          5.4749632883          2.2742307571          6.8418465787          3.0473492386          6.5545088287          3.6623239127          9.3710442637 
      1         27.2206426134          4.2530752688          4.2950404322         10.3175505241          0.2506553796          0.4189208199          0.3815519445          0.6729750806          0.9060570233          0.9870441460          0.3997102651          0.5384500805          0.2285217921         -3.4903098221         -3.3616226015         -2.9532014581         -2.1956831582          0.1272001914          0.1292522803          0.2404940856          0.0861376533          0.2450278652          0.2201459419          0.1886335596          0.1548341921          0.2912868048          0.0300133913         -0.1514523676         -0.0524621344         -0.2265791551         -0.0422633066         -0.2744954623         -0.1126211705         -0.0881183680         -0.2135286412          0.2000000000          0.0762346662          0.1440097410          0.7643670884          0.7580814668          0.7550554739          0.7700309899          0.7717733278          0.7575551518          0.7553830471          0.7598788457          3.1671796392          9.9763950646          6.4811580829          9.9987509676          7.2224732853          4.7532082439          6.0088180548          7.7635128061 
      2         28.9046196910          5.9742895152          2.1039971689          9.6793115040          0.1791492879          0.4153647276          0.5839274906          0.6037599028          0.9369842632          0.9731510367          0.4630223042          0.9363557790          0.4482455040         -3.6516455103         -3.5489390848         -1.4100913510         -2.0455015454          0.1283912975          0.1273236642          0.2400239657          0.0824667222          0.2514836924          0.2062867802          0.1976859623          0.1515618562          0.2916904754          0.0459676840         -0.1508771732         -0.0523517865         -0.2266290413         -0.0368740110         -0.2785013050         -0.1041291061         -0.0951744788         -0.2060888182          0.2000000000          0.0864471124          0.1429219857          0.7568531297          0.7606759784          0.7694106181          0.7711014031          0.7580402880          0.7730233241          0.7531001930          0.7704035821          3.3208719665          2.3393238416          4.1776813007          7.8843967661          3.3462310438          8.2942843809          2.5473792855          4.6841102832 
      3         39.9540372658          4.8354556077          0.7673761588         10.7343564984          0.3832034356          0.3823482159          0.5097843815          0.6283208631          0.9595497616          0.9269852034          0.7990773407          0.7713778638          0.0019868116         -2.0538955168         -2.3286544907         -1.7296228562         -2.0315990140          0.1283912975          0.1273236642          0.2400239657          0.0813370238          0.2514836924          0.2036152117          0.1990115615          0.1515618562          0.2916904754          0.0459676840         -0.1508771732         -0.0518788586         -0.2269022342         -0.0364123054         -0.2785013050         -0.1061977706         -0.0951744788         -0.2060888182          0.2000000000          0.0864471124          0.1400562426          0.7600852878          0.7669462436          0.7689926989          0.7741844413          0.7531647382          0.7643013268          0.7543664633          0.7736966061         11.9953998939         10.8111246315          9.9142969292          4.1651145557          6.6524536405          4.9976224283          6.7435092626          5.3671802877 
      4         26.3029084186          4.4127364562          1.6542110629         10.1555314162          0.3562242116          0.3684642837          0.5670534116          0.6367971611          0.9568222538          0.9479495418          0.6889523054          0.8437794332          0.1283902397         -2.1100373562         -2.8658017896         -1.1187393955         -1.3476831117          0.1282895203          0.1273236642          0.2400239657          0.0824143151          0.2514836924          0.2061628451          0.1990115615          0.1515618562          0.2916904754          0.0460088263         -0.1508771732         -0.0523298472         -0.2264216216         -0.0364123054         -0.2785013050         -0.1061977706         -0.0951744788         -0.2059381257          0.2000000000          0.0864471124          0.1434064216          0.7583984568          0.7718904753          0.7630771726          0.7728410895          0.7666245916          0.7681829863          0.7609866381          0.7625193073         10.0285820237         11.9024346044          7.5191403941          2.6310623165         10.6550990824          7.1736194273         11.8681238180          4.7853437306 
      5         36.7836166468          5.8168289774          3.4246801086          9.7194309438          0.1539509384          0.3781030964          0.4380463174          0.6981968522          0.9009835890          0.9822557669          0.6736187665          0.9123220138          0.6601915292         -3.2175033989         -3.2762007867         -1.5098722370         -2.3803940485          0.1282990832          0.1273236642          0.2400239657          0.0824143151          0.2514836924          0.2061628451          0.1990115615          0.1515618562          0.2916904754          0.0460049606         -0.1508771732         -0.0523298472         -0.2264667795         -0.0364123054         -0.2785013050         -0.1061977706         -0.0951744788         -0.2059522846          0.2000000000          0.0864471124          0.1413356361          0.7613577702          0.7543441757          0.7581768939          0.7673207230          0.7587005767          0.7595599655          0.7685856138          0.7738662702         10.7384833706          4.1439082170         10.3077337112          2.5364921181          5.0307042281         10.7563469649          8.7687308735          8.3549694434 
      6         35.6388496544          5.8194356690          1.4313167705          9.3316503288          0.2471736551          0.3815879655          0.2993693355          0.6588546618          0.9123471744          0.9890973456          0.6205074183          0.6498416048          0.5425925353         -3.5117986359         -2.2099727873         -1.0362953702         -2.6527953213          0.1300232121          0.1248775850          0.1993969787          0.0787525171          0.2572539303          0.1887536794          0.2135921306          0.1419856866          0.2884127879          0.0597984618         -0.1493338561         -0.0514243965         -0.2269280045         -0.0353234416         -0.1631317303         -0.1000233494         -0.1002933866         -0.1999008494          0.2000000000          0.0970297899          0.1435411761          0.7727718775          0.7549269180          0.7551994785          0.7643209915          0.7665184419          0.7532438233          0.7737607692          0.7572229917          3.3649782059          8.9719861513          7.6756492142          3.5489362127          8.5097125923         11.0137548644          9.3431672110          2.8985391742 
      7         33.3781315543          5.7225337191          2.8021490482          8.6650635048          0.3019627233          0.3626583525          0.3992501093          0.6838724894          0.9523250536          0.9886554964          0.7774850704          0.8278009310          0.4430371731         -2.3935023339         -2.6278429131         -2.7088053004         -2.2568549571          0.1272054287          0.1373170061          0.1959976127          0.0735775945          0.2695690459          0.1872713943          0.2071653455          0.1399287223          0.2889002774          0.0553483514         -0.1492268143         -0.0516076942         -0.2214163441         -0.0406486528         -0.2736992081         -0.0994784015         -0.1007377159         -0.2066152464          0.2000000000          0.1008171061          0.1418114204          0.7613449192          0.7746946463          0.7665303680          0.7600237681          0.7581710572          0.7501718054          0.7673141036          0.7707345438          5.7582241668          2.0346837199          2.5810052331          2.5486384820          7.7696723784         10.2700830663         10.5536640731          8.4942544614 
      8         35.0583783861          5.6077825650          4.1536492740          9.9657282625          0.3715082793          0.4083229934          0.7035454131          0.6544605451          0.9527003214          0.9577471909          0.6610357265          0.6078279471          0.7235169171         -2.7092835691         -3.4877705837         -2.6042319542         -1.8063505072          0.1281803191          0.1270255362          0.1938047814          0.0846872334          0.2593526716          0.1776222463          0.2278464101          0.1382259019          0.2960646935          0.0470360673         -0.1495261839         -0.0518480564         -0.2245701596         -0.0420553149         -0.1487482382         -0.0999179791         -0.1001043977         -0.1997477635          0.2000000000          0.0854669224          0.1419176577          0.7730450757          0.7581547276          0.7664166236          0.7580469541          0.7623889739          0.7540832559          0.7734565500          0.7567846892          3.7069852200         11.8596529986          4.9345279347          9.0865990052          2.3486249601          7.6900017378         11.9692477779          9.3173197486 
      9         30.8789614812          4.5445059423          1.7393518108          8.3858982276          0.2084354849          0.4125659870          0.3219679773          0.6807308931          0.9139959326          0.9215337768          0.3204817774          0.7011526846          0.5697528735         -3.3285032795         -3.0138730725         -1.0316224440         -2.5179704716          0.1290743105          0.1249286159          0.1991777257          0.0788579808          0.2573169867          0.1884074804          0.2142580258          0.1422597147          0.2886873534          0.0594336502         -0.1493355842         -0.0514379426         -0.2268619309         -0.0355140251         -0.1627066574         -0.1000122220         -0.0999940140         -0.2000122238          0.2000000000          0.0967509224          0.1406015783          0.7747420897          0.7594249166          0.7524996704          0.7618037342          0.7630708592          0.7748662942          0.7670376179          0.7574186190          5.5143110741         10.1221727903          9.2079829198          3.3226625507          3.5319377109         11.6292486963          6.0166648826         10.3973400685 
