case,Lu_h,Ld_h,grid,cells,x_h,inlet_bias_pct,effective_Re,wall_gap_pct,valid
re100-u5-d30-g1,5,30,1,6100,2.871578240880023,0.12499999999995293,100.12500000000001,0.5626911979443803,True
re100-u5-d30-g2,5,30,2,24400,2.8926843199532617,0.031249999999993783,100.03124999999994,0.2852483884023198,True
re100-u5-d30-g4,5,30,4,97600,2.9056328080388605,0.007812499999992895,100.00781249999991,0.14358029202716843,True
re100-u10-d30-g1,10,30,1,6600,2.8715782833483687,0.12499999999995293,100.12500000000001,0.5626911882783799,True
re100-u10-d30-g2,10,30,2,26400,2.8926841630273374,0.031249999999993783,100.03124999999994,0.2852484029706067,True
re100-u10-d30-g4,10,30,4,105600,2.9056327246598657,0.007812499999992895,100.00781249999991,0.1435802946577442,True
re100-u5-d60-g1,5,60,1,7420,2.8715782270355934,0.12499999999995293,100.12500000000001,0.5626911992813799,True
re100-u5-d60-g2,5,60,2,29680,2.892684264394385,0.031249999999993783,100.03124999999994,0.28524839412587805,True
re100-u5-d60-g4,5,60,4,118720,2.9056325890753345,0.007812499999992895,100.00781249999991,0.14358030256466084,True
re100-u10-d60-g1,10,60,1,7920,2.8715782694683534,0.12499999999995293,100.12500000000001,0.5626911896264972,True
re100-u10-d60-g2,10,60,2,31680,2.8926841166390127,0.031249999999993783,100.03124999999994,0.28524840777439514,True
re100-u10-d60-g4,10,60,4,126720,2.9056325418904416,0.007812499999992895,100.00781249999991,0.14358030345109324,True
re100-u5-d30-g8,5,30,8,390400,2.9123932384290225,0.0019531250000426326,100.00195312496226,0.07198531373565731,True
re100-u10-d30-g8,10,30,8,422400,2.912393215503973,0.0019531250000426326,100.00195312496226,0.07198531391982127,True
re100-u5-d60-g8,5,60,8,474880,2.9123931519504205,0.0019531250000426326,100.00195312496226,0.0719853155442806,True
re100-u10-d60-g8,10,60,8,506880,2.912393135327357,0.0019531250000426326,100.00195312496226,0.07198531554692476,True
