id,grid,upstream_h,downstream_h,old_x_h,primary_x_h,near_wall_gap_percent,iteration_change,path_defect_relative
re200-u5-d30-g1,0,5,30,4.9119479470607725,4.9119479470607725,0.5048751253341112,1.1542667559037005e-08,5.711524255776458e-13
re200-u5-d30-g2,1,5,30,4.952125787010803,4.952125787010803,0.25830461847630365,8.302976346803415e-09,8.932686760777068e-13
re200-u5-d30-g4,2,5,30,4.969295311316151,4.969295311316151,0.1303405343661409,8.720205543819806e-09,9.163544160727786e-13
re200-u5-d30-g8,3,5,30,0.00649170786082456,4.977052467507386,0.0654866241292167,6.470853901367653e-09,4.530096342577866e-13
re200-u10-d30-g1,0,10,30,4.911847190055681,4.911847190055681,0.5048904103672195,1.1296104927343854e-08,6.432198566437289e-13
re200-u10-d30-g2,1,10,30,4.9521012676398595,4.9521012676398595,0.2583063618806571,8.427893650410685e-09,7.056194215048418e-13
re200-u10-d30-g4,2,10,30,4.9692888758525635,4.9692888758525635,0.1303405584375631,1.0350314305942656e-09,1.0282401096929944e-12
re200-u10-d30-g8,3,10,30,0.006491707656557555,4.97705032637188,0.06548661889292236,5.4402822951991455e-09,3.9505572837427555e-13
re200-u5-d60-g1,0,5,60,4.911947935511992,4.911947935511992,0.5048751252900229,9.217689104839617e-09,8.888188163685134e-13
re200-u5-d60-g2,1,5,60,4.952125742168442,4.952125742168442,0.2583046190290132,1.91715539196525e-08,9.259726519357544e-13
re200-u5-d60-g4,2,5,60,4.969295093228729,4.969295093228729,0.13034053034557422,1.4134621129286242e-08,7.931702669430339e-13
re200-u5-d60-g8,3,5,60,0.006491707869458415,4.977051511080276,0.06548661577082411,2.8595233756900844e-09,3.548819165136231e-13
re200-u10-d60-g1,0,10,60,4.91184717956845,4.91184717956845,0.5048904103934082,9.23834580215898e-09,9.459422208974677e-13
re200-u10-d60-g2,1,10,60,4.952101224617508,4.952101224617508,0.25830636241794136,1.5644265104702304e-10,1.4323965986359146e-12
re200-u10-d60-g4,2,10,60,4.969288708565218,4.969288708565218,0.13034055534750888,1.670879292188415e-08,9.613949438990224e-13
re200-u10-d60-g8,3,10,60,0.006491707663719527,4.977049625984467,0.06548661279314603,1.5658182783574485e-08,4.0006560679140533e-13
