Picked up JAVA_TOOL_OPTIONS: -Dfile.encoding=UTF-8
启动本地服务器：starccm+.bat -server -new 
Serial process 22988

Simcenter STAR-CCM+ 2402 Build 19.02.009 (win64/clang15.0vc14.2-r8)

License build date: 16 February 2023
This version of the code requires license version 2024.02 or greater.
Checking license file: C:\Users\Kogami\license.dat
Checking license file: C:/Users/Kogami/license.dat
Checking license file: D:\STAR CCM\17.04.008-R8\license.dat
Unable to list features for license file D:\STAR CCM\17.04.008-R8\license.dat.
1 copy of ccmpsuite checked out from C:\Users\Kogami\license.dat
Feature ccmpsuite does not expire
Mon Sep 21 17:53:22 2026

Server::start -host Jerry:47827
正在播放宏： C:\Users\Kogami\cb_dl\tmr\run2\allin3.java
allin3.java:35: 警告: [deprecation] star.common.ContinuumManager中的setContinuum(java.util.List<star.common.Region>,star.common.Continuum)已过时
        sim.getContinuumManager().setContinuum(rl, pc);
                                 ^

A3-START
Loading module: Mapping


Importing C:/Users/Kogami/cb_dl/tmr/grid_struct_137x97_vol.cgns
Loading module: CaeIOCgns
Reading C:\Users\Kogami\cb_dl\tmr\grid_struct_137x97_vol.cgns...
Reading faces : 52456
Re-Reading faces : 52456
Number of faces: 26576
   Reading boundary: Base:Zone   1:default
Processing mesh
Finished reading C:\Users\Kogami\cb_dl\tmr\grid_struct_137x97_vol.cgns
Reordering
Finished importing
Imported coordinate extents (m)
X extents: [-0.33333, 2.0]
   Y extents: [-1.0, 0.0]
   Z extents: [0.0, 1.0]

INFO: No CGNS units information found for base node 1
Splitting default into 6 pieces...
Created new boundary default 2 with 96 faces
Created new boundary default 3 with 96 faces
Created new boundary default 4 with 136 faces
Created new boundary default 5 with 136 faces
Created new boundary default 6 with 13056 faces
Boundary default left with 13056 faces.
A3-1-MESH n=6
Reading material property database "C:\Program Files\Siemens\19.02.009-R8\STAR-CCM+19.02.009-R8\star\data\props.mdb"...
Loading module: SegregatedFlowModel
Loading module: SegregatedEnergyModel
Loading module: KwTurbModel
A3-2-PHYSICS
A3-BND default cx=0.833 cz=0.5000
A3-BND default 2 cx=-0.333 cz=0.5000
A3-BND default 3 cx=2.000 cz=0.5000
A3-BND default 4 cx=0.833 cz=0.0000
A3-BND default 5 cx=0.833 cz=1.0000
A3-BND default 6 cx=0.833 cz=0.5000
A3-ID: wall=default 4 top=default 5 in=default 2 out=default 3
Created new boundary default 4 2 with 24 faces
Boundary default 4 left with 112 faces.
A3-3-SPLITX
A3-4-SLIP: default 4 2
A3-5-TYPES
A3-6-VEL: 50.0 m/s
A3-7-SETUP
Initialization of star.flow.EffectiveViscosityModel requires an additional pass...
Initialization of star.flow.EffectiveViscositySolver requires an additional pass...

Error: AMG solver diverged.
AMG exit reason: Diverged due to exceeding divergence tolerance.
Relative residual: 1.296058e+05
     Iteration     Continuity     X-momentum     Y-momentum     Z-momentum         Energy            Tke            Sdr 
             1   1.000000e+00   1.000000e+00   1.000000e+00   1.000000e+00   0.000000e+00   1.000000e+00   1.000000e+00 
             2   1.302506e-01   1.000000e+00   1.000000e+00   1.000000e+00   0.000000e+00   4.795905e-01   1.000000e+00 
             3   4.749750e-02   2.789796e-01   3.816624e-01   6.797189e-01   0.000000e+00   3.640611e-01   4.816213e-01 
             4   3.500456e-02   1.540059e-01   1.833065e-01   4.797952e-01   0.000000e+00   3.278304e-01   1.742298e-01 
             5   2.889986e-02   1.024691e-01   1.135070e-01   3.638961e-01   0.000000e+00   2.332965e-01   4.583797e-02 
             6   2.601699e-02   9.416106e-02   5.709856e-02   2.880102e-01   0.000000e+00   1.944259e-01   1.138119e-02 
             7   2.595221e-02   9.283017e-02   3.814810e-02   2.376518e-01   0.000000e+00   1.577139e-01   2.892898e-03 
             8   2.615454e-02   8.966281e-02   2.365926e-02   2.021446e-01   0.000000e+00   1.361812e-01   7.968557e-04 
             9   2.277251e-02   8.336977e-02   1.514092e-02   1.781368e-01   0.000000e+00   1.215732e-01   2.493121e-04 
            10   1.963124e-02   7.731312e-02   1.139481e-02   1.616287e-01   0.000000e+00   1.107563e-01   8.136968e-05 
     Iteration     Continuity     X-momentum     Y-momentum     Z-momentum         Energy            Tke            Sdr 
            11   1.956089e-02   7.282793e-02   6.461035e-03   1.483924e-01   0.000000e+00   1.028526e-01   3.597026e-05 
            12   2.190135e-02   6.935574e-02   7.665662e-03   1.367727e-01   0.000000e+00   9.747849e-02   1.316319e-04 
            13   2.598391e-02   6.681913e-02   4.904544e-03   1.265510e-01   0.000000e+00   9.504040e-02   5.024720e-04 
            14   3.071957e-02   6.481508e-02   4.250985e-03   1.183259e-01   0.000000e+00   9.661737e-02   1.105215e-03 
            15   3.297155e-02   6.340574e-02   4.986391e-03   1.120999e-01   0.000000e+00   1.040033e-01   7.855968e-03 
            16   3.749560e-02   6.272105e-02   5.761036e-03   1.082867e-01   0.000000e+00   1.180900e-01   1.510244e-02 
            17   3.985572e-02   6.218935e-02   5.226192e-03   1.060702e-01   0.000000e+00   1.395965e-01   8.046750e-03 
            18   2.383879e-02   6.001253e-02   1.028986e-02   1.056542e-01   0.000000e+00   1.682245e-01   3.474737e-03 
            19   2.436942e-02   5.594213e-02   7.304353e-03   1.037326e-01   0.000000e+00   2.023898e-01   1.526377e-03 
            20   2.257256e-02   4.981017e-02   5.204916e-03   9.980052e-02   0.000000e+00   2.408947e-01   7.504484e-04 
     Iteration     Continuity     X-momentum     Y-momentum     Z-momentum         Energy            Tke            Sdr 
            21   2.116551e-02   4.306527e-02   3.859602e-03   9.681854e-02   0.000000e+00   2.877175e-01   4.193185e-04 
            22   2.044949e-02   3.686173e-02   3.568198e-03   8.916311e-02   0.000000e+00   3.358932e-01   2.444246e-04 
