Picked up JAVA_TOOL_OPTIONS: -Dfile.encoding=UTF-8
启动本地服务器：starccm+.bat -server -new 
Serial process 7696

Simcenter STAR-CCM+ 2402 Build 19.02.009 (win64/clang15.0vc14.2-r8)

License build date: 16 February 2023
This version of the code requires license version 2024.02 or greater.
Checking license file: C:\Users\Kogami\license.dat
Checking license file: C:/Users/Kogami/license.dat
Checking license file: D:\STAR CCM\17.04.008-R8\license.dat
Unable to list features for license file D:\STAR CCM\17.04.008-R8\license.dat.
1 copy of ccmpsuite checked out from C:\Users\Kogami\license.dat
Feature ccmpsuite does not expire
Mon Sep 21 20:43:11 2026

Server::start -host Jerry:47828
正在播放宏： C:\Users\Kogami\cb_dl\tmr\run2\qoi78.java
qoi78.java:82: 警告: [deprecation] star.common.ContinuumManager中的setContinuum(java.util.List<star.common.Region>,star.common.Continuum)已过时
        sim.getContinuumManager().setContinuum(rl, pc);
                                 ^

Q78-START U=78.33
Loading module: Mapping


Importing C:/Users/Kogami/cb_dl/tmr/grid_struct_273x193_vol.cgns
Loading module: CaeIOCgns
Reading C:\Users\Kogami\cb_dl\tmr\grid_struct_273x193_vol.cgns...
Reading faces : 209360
Re-Reading faces : 209360
Number of faces: 105376
   Reading boundary: Base:Zone   1:default
Processing mesh
Finished reading C:\Users\Kogami\cb_dl\tmr\grid_struct_273x193_vol.cgns
Reordering
Finished importing
Imported coordinate extents (m)
X extents: [-0.33333, 2.0]
   Y extents: [-1.0, 0.0]
   Z extents: [0.0, 1.0]

INFO: No CGNS units information found for base node 1
Splitting default into 6 pieces...
Created new boundary default 2 with 192 faces
Created new boundary default 3 with 192 faces
Created new boundary default 4 with 272 faces
Created new boundary default 5 with 272 faces
Created new boundary default 6 with 52224 faces
Boundary default left with 52224 faces.
Reading material property database "C:\Program Files\Siemens\19.02.009-R8\STAR-CCM+19.02.009-R8\star\data\props.mdb"...
Loading module: SegregatedFlowModel
Loading module: SegregatedEnergyModel
Loading module: KwTurbModel
Created new boundary default 4 2 with 48 faces
Boundary default 4 left with 224 faces.
Q78-SET INLET 速度幅值 = 78.33
Q78-SET INLET 湍流强度 = 3.873E-4
Q78-SET INLET 湍流粘度比 = 0.009
Q78-SET IC 湍流强度 = 0.0303379
Q78-SET IC 湍流粘度比 = 0.009
Q78-SET IC 湍流速度比例 = 1.0
Q78-SET IC 速度 = (78.33,0,0)
Q78-SETUP-DONE
Initialization of star.flow.EffectiveViscosityModel requires an additional pass...
Initialization of star.flow.EffectiveViscositySolver requires an additional pass...
Wall distance limited to 1e-06 on 224 cells in Zone   1
Q78-INIT-IT 0
Q78-K-IN = 0.0013805822646149998
Q78-OMEGA-IN = 9791.829814131104
Q78-TVR-IN = 0.008999999999999992
     Iteration     Continuity     X-momentum     Y-momentum     Z-momentum         Energy            Tke            Sdr 
             1   1.000000e+00   1.000000e+00   1.000000e+00   1.000000e+00   0.000000e+00   1.000000e+00   1.000000e+00 
             2   1.185943e-01   1.000000e+00   1.000000e+00   1.000000e+00   0.000000e+00   7.948033e-01   1.000000e+00 
             3   3.633400e-02   2.774968e-01   3.737497e-01   7.304992e-01   0.000000e+00   6.286554e-01   2.380538e-01 
             4   2.199881e-02   1.701786e-01   1.771948e-01   5.420379e-01   0.000000e+00   5.342510e-01   5.926114e-02 
             5   2.092016e-02   1.134947e-01   9.580634e-02   4.408226e-01   0.000000e+00   4.737815e-01   1.720784e-02 
             6   1.817569e-02   9.059289e-02   5.537560e-02   3.672540e-01   0.000000e+00   4.296186e-01   5.277901e-03 
             7   1.600982e-02   8.608792e-02   3.380485e-02   3.152286e-01   0.000000e+00   3.945799e-01   2.032609e-03 
             8   1.481023e-02   8.658669e-02   2.128805e-02   2.774139e-01   0.000000e+00   3.660060e-01   1.093255e-03 
             9   1.414255e-02   8.535659e-02   1.443431e-02   2.492547e-01   0.000000e+00   3.462494e-01   7.500085e-04 
            10   1.276227e-02   8.215709e-02   1.054827e-02   2.276107e-01   0.000000e+00   3.479092e-01   5.763198e-04 
     Iteration     Continuity     X-momentum     Y-momentum     Z-momentum         Energy            Tke            Sdr 
            11   1.177200e-02   7.856540e-02   8.238954e-03   2.106383e-01   0.000000e+00   3.917072e-01   4.605377e-04 
            12   1.136022e-02   7.485720e-02   7.336633e-03   1.970655e-01   0.000000e+00   5.003058e-01   4.050682e-04 
            13   1.126849e-02   7.125184e-02   6.407482e-03   1.862473e-01   0.000000e+00   6.862497e-01   4.800986e-03 
            14   1.170690e-02   6.769424e-02   5.387681e-03   1.776535e-01   0.000000e+00   9.359901e-01   1.311986e-02 
            15   1.159799e-02   6.430426e-02   4.817726e-03   1.709612e-01   0.000000e+00   1.289142e+00   1.432767e-02 
            16   1.207872e-02   6.113104e-02   4.346865e-03   1.657573e-01   0.000000e+00   1.756085e+00   7.722532e-03 
            17   1.242488e-02   5.823041e-02   4.226526e-03   1.613346e-01   0.000000e+00   2.348940e+00   3.602375e-03 
            18   1.330508e-02   5.567244e-02   4.192328e-03   1.569151e-01   0.000000e+00   3.087639e+00   1.649915e-03 
            19   1.676223e-02   5.341937e-02   4.468256e-03   1.521024e-01   0.000000e+00   4.012383e+00   8.474019e-04 
            20   1.672249e-02   5.158108e-02   4.130039e-03   1.469469e-01   0.000000e+00   5.136756e+00   5.055292e-04 
     Iteration     Continuity     X-momentum     Y-momentum     Z-momentum         Energy            Tke            Sdr 
            21   1.787435e-02   5.015011e-02   4.735934e-03   1.414599e-01   0.000000e+00   6.567040e+00   3.437183e-04 
            22   1.770699e-02   4.914762e-02   4.790068e-03   1.357619e-01   0.000000e+00   8.259822e+00   2.542037e-04 
