x	Re_x	ref_CFL3D	ref_FUN3D	zone_diff_pct
0.05	2.5e+05	0.004299	0.004253	+1.074
0.10	5e+05	0.003828	0.003808	+0.531
0.25	1.25e+06	0.003299	0.003293	+0.179
0.50	2.5e+06	0.002965	0.002964	+0.064
0.75	3.75e+06	0.002793	0.002792	+0.027
1.00	5e+06	0.002679	0.002679	+0.011
1.50	7.5e+06	0.002531	0.002531	-0.002
1.99	9.95e+06	0.002441	0.002424	+0.723

x	137x97@6000	273x193@6000 default-IC	273x193@3000 seeded-IC	dev137	dev273	devseed
0.05	0.002567	0.002591	0.002384	-40.29	-39.73	-44.53
0.10	0.002563	0.002631	0.002334	-33.05	-31.27	-39.03
0.25	0.002531	0.002639	0.002181	-23.28	-20.02	-33.90
0.50	0.002492	0.002601	0.001963	-15.98	-12.30	-33.82
0.75	0.002468	0.002562	0.001789	-11.64	-8.24	-35.92
1.00	0.002450	0.002527	0.001658	-8.55	-5.67	-38.11
1.50	0.002424	0.002464	0.001534	-4.23	-2.63	-39.40
1.99	0.002409	0.002426	0.001566	-1.34	-0.61	-35.84

slope(0.5->1.99) 137x97@6000	-0.0245
slope(0.5->1.99) 273x193@6000	-0.0502
slope(0.5->1.99) 273x193@3000-seeded	-0.1633
slope(0.5->1.99) CFL3D	-0.1408
